REFSEQ,SYMBOL,GENENAME,ENTREZID,GOSLIM_IDS,Ecol-K-12MG1655-1G-CTRL-Rep1,Ecol-K-12MG1655-1G-CTRL-Rep2,Ecol-K-12MG1655-1G-CTRL-Rep3,Ecol-K-12MG1655-1G-CTRL-Rep4,Ecol-K-12MG1655-uG-Clinorotation-Rep1,Ecol-K-12MG1655-uG-Clinorotation-Rep2,Ecol-K-12MG1655-uG-Clinorotation-Rep3,Ecol-K-12MG1655-uG-Clinorotation-Rep4,All.mean,All.stdev,F.p.value,Group.Mean_(1G),Group.Mean_(uG),Group.Stdev_(1G),Group.Stdev_(uG),Log2fc_(1G)v(uG),Log2fc_(uG)v(1G),P.value_(1G)v(uG),P.value_(uG)v(1G),Adj.p.value_(1G)v(uG),Adj.p.value_(uG)v(1G)
NP_417062,rnc,RNase III,947033,"GO:0003676, GO:0003723, GO:0003824, GO:0004518, GO:0004521, GO:0005488, GO:0006139, GO:0006807, GO:0008152, GO:0009987, GO:0016070, GO:0016787, GO:0016788, GO:0044238",8.590609665,8.402137586,8.651033488,9.090423184,8.620353461,8.50856318,8.527193165,9.037139545,8.678431659,0.056040471,0.952563373,8.673312338,8.683550981,4.336656169,4.34177549,-0.010238643,0.010238643,0.952563373,0.952563373,0.998164659,0.998164659
NP_418809,slt,"lytic murein transglycosylase, soluble",948908,,9.426808724,9.398763911,9.451999911,9.411418222,9.556988218,9.304214359,9.273932598,9.474232126,9.412294759,0.01369661,0.815297308,9.402341825,9.422247692,4.701170913,4.711123846,-0.019905867,0.019905867,0.815297308,0.815297308,0.998164659,0.998164659
NP_417806,fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),947850,"GO:0003824, GO:0005488, GO:0005622, GO:0005737, GO:0006457, GO:0006464, GO:0008152, GO:0009987, GO:0016853, GO:0019538, GO:0044238, GO:0044464",9.22419105,9.063799225,9.133382234,9.144482679,9.219125787,9.01571502,9.143552046,9.05144676,9.12446185,0.01164231,0.666349463,9.107459903,9.141463797,4.553729952,4.570731899,-0.034003894,0.034003894,0.666349463,0.666349463,0.998164659,0.998164659
NP_416425,yecF,DUF2594 family protein,946420,,8.533010702,8.593825175,8.531211877,8.095066492,8.860259391,8.108627594,8.331335084,7.920205544,8.371692732,0.080151814,0.522575268,8.305106903,8.438278561,4.152553452,4.219139281,-0.133171658,0.133171658,0.522575268,0.522575268,0.998164659,0.998164659
NP_416201,menI,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",946190,NA,8.640161203,8.597474405,8.551740437,8.228262953,8.697539871,8.577464555,8.498723887,8.485939723,8.534663379,0.022266479,0.580375235,8.564917009,8.50440975,4.282458505,4.252204875,0.060507259,-0.060507259,0.580375235,0.580375235,0.998164659,0.998164659
NP_416676,yeiP,elongation factor P-like protein,946674,NA,8.078906563,8.07645316,8.07796354,8.245002114,8.082102916,8.134287774,8.176195442,8.108137517,8.122381128,0.010257812,0.939387962,8.125180912,8.119581344,4.062590456,4.059790672,0.005599568,-0.005599568,0.939387962,0.939387962,0.998164659,0.998164659
NP_415410,ftsK,DNA translocase at septal ring sorting daughter chromsomes,945102,"GO:0003676, GO:0005488, GO:0007049, GO:0009987",8.684014096,8.5712288,8.71635324,8.508277925,8.633230003,9.061391474,8.911598372,8.368791651,8.681860695,0.041828841,0.414225165,8.743752875,8.619968515,4.371876437,4.309984258,0.12378436,-0.12378436,0.414225165,0.414225165,0.998164659,0.998164659
NP_416718,apbE,putative thiamine-synthetic flavin transferase lipoprotein,946711,NA,8.044087969,8.062789685,8.162435774,7.722669596,8.066303205,8.201359354,8.208255118,7.323804747,7.973963181,0.07898102,0.81429797,7.949930606,7.997995756,3.974965303,3.998997878,-0.04806515,0.04806515,0.81429797,0.81429797,0.998164659,0.998164659
NP_414543,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,945803,"GO:0003824, GO:0006520, GO:0008152, GO:0008652, GO:0016301, GO:0016740, GO:0019202, GO:0044238",9.412649081,9.538150858,9.319014691,9.413912336,9.425061722,9.569970137,9.515193798,9.615320754,9.476159172,0.012316299,0.192835428,9.531386603,9.420931741,4.765693301,4.710465871,0.110454862,-0.110454862,0.192835428,0.192835428,0.998164659,0.998164659
NP_417476,yghA,putative oxidoreductase,947478,"GO:0003824, GO:0006629, GO:0008152, GO:0008202, GO:0016491, GO:0044238",9.057655405,8.925910088,9.004711192,8.288128188,8.651383725,9.113754371,8.915531919,8.936233221,8.861663514,0.06221244,0.640860741,8.904225809,8.819101218,4.452112905,4.409550609,0.085124591,-0.085124591,0.640860741,0.640860741,0.998164659,0.998164659
NP_417433,yggN,DUF2884 family putative periplasmic protein,947453,,8.437946194,8.444637271,8.446597148,8.449727424,8.552671484,8.375671674,8.44017761,8.339714355,8.435892895,0.010311816,0.811152668,8.427058781,8.444727009,4.21352939,4.222363505,-0.017668228,0.017668228,0.811152668,0.811152668,0.998164659,0.998164659
NP_415836,ycjW,LacI family putative transcriptional repressor,945875,"GO:0003676, GO:0003677, GO:0003700, GO:0005488, GO:0006139, GO:0006351, GO:0008152, GO:0044238, GO:0001071, GO:0016070",8.057008255,7.943092744,7.97641829,7.969776466,8.035172905,7.949002908,7.938952982,7.679546673,7.943621403,0.016056147,0.362707639,7.900668867,7.986573939,3.950334433,3.993286969,-0.085905072,0.085905072,0.362707639,0.362707639,0.998164659,0.998164659
NP_416117,mdtJ,multidrug efflux system transporter,946139,"GO:0005215, GO:0005886, GO:0006810, GO:0006811, GO:0006812, GO:0006820, GO:0006865, GO:0008324, GO:0009987, GO:0015171, GO:0016020, GO:0016021, GO:0022857, GO:0044464, GO:0051179, NA",9.141812002,9.178899219,9.28666874,8.325090573,9.588566698,8.243958512,8.95094793,8.085729534,8.850209151,0.232287714,0.45541173,8.717300668,8.983117634,4.358650334,4.491558817,-0.265816965,0.265816965,0.45541173,0.45541173,0.998164659,0.998164659
NP_417554,higB,mRNA interferase toxin of the HigB-HigA toxin-antitoxin system,947591,,8.235590403,8.238985767,8.259505172,7.782643389,7.869815772,8.071873052,8.195382156,7.439155929,8.011618955,0.061846826,0.213990305,7.894056727,8.129181183,3.947028364,4.064590591,-0.235124455,0.235124455,0.213990305,0.213990305,0.998164659,0.998164659
NP_416341,kdgR,KDG regulon transcriptional repressor,946129,"GO:0001071, GO:0003676, GO:0003677, GO:0003700, GO:0005488, GO:0006139, GO:0006351, GO:0006807, GO:0008152, GO:0009058, GO:0009987, GO:0016070, GO:0019219, GO:0032991, GO:0032993, GO:0044238, GO:0050789, GO:0065007",8.719473561,8.744445233,8.729452608,8.974064067,8.720282893,8.771842888,8.656536907,8.885288177,8.775173292,0.015463855,0.713101125,8.758487716,8.791858867,4.379243858,4.395929434,-0.033371151,0.033371151,0.713101125,0.713101125,0.998164659,0.998164659
NP_417387,fau,5-formyltetrahydrofolate cyclo-ligase family protein,945167,"GO:0003824, GO:0006520, GO:0006732, GO:0006807, GO:0008152, GO:0008652, GO:0009058, GO:0009987, GO:0016874, GO:0042558, GO:0044238",8.244040838,8.166854709,8.252118808,8.333415988,8.148788288,7.99768737,8.301647413,8.344217926,8.223596418,0.017227932,0.59586479,8.198085249,8.249107586,4.099042625,4.124553793,-0.051022336,0.051022336,0.59586479,0.59586479,0.998164659,0.998164659
NP_417350,yqeA,putative amino acid kinase,947358,"GO:0003824, GO:0005622, GO:0005737, GO:0005829, GO:0006520, GO:0006796, GO:0006807, GO:0008152, GO:0009056, GO:0009063, GO:0009987, GO:0016301, GO:0016740, GO:0044238, GO:0044464",8.520901108,8.533114234,8.58716086,8.38379525,8.60154006,8.377287531,8.252686694,8.69347743,8.493745396,0.023497477,0.822780167,8.481247929,8.506242863,4.240623964,4.253121431,-0.024994934,0.024994934,0.822780167,0.822780167,0.998164659,0.998164659
NP_416508,cbeA,CP4-44 prophage; cytoskeleton bundling-enhancing factor A; CbtA antitoxin,946510,,8.318489851,8.178144777,8.24155781,7.850493343,8.574310999,7.978602851,7.80789592,7.8009611,8.093807082,0.065968133,0.571197185,8.040442718,8.147171445,4.020221359,4.073585723,-0.106728728,0.106728728,0.571197185,0.571197185,0.998164659,0.998164659
YP_026186,ghxQ,"guanine/hypoxanthine permease, high affinity; guanine/hypoxanthine:H+ symporter",2847748,"GO:0005215, GO:0006139, GO:0006144, GO:0006810, GO:0008152, GO:0015931, GO:0022857, GO:0044238, GO:0051179",9.266907914,9.124091385,9.209668762,8.899763117,9.105606938,9.467587185,9.527017378,9.210971951,9.226451829,0.029632431,0.130212644,9.327795863,9.125107794,4.663897931,4.562553897,0.202688069,-0.202688069,0.130212644,0.130212644,0.998164659,0.998164659
NP_417204,hycB,"hydrogenase 3, Fe-S subunit",948002,"GO:0003824, GO:0005622, GO:0005737, GO:0006139, GO:0006206, GO:0006807, GO:0008152, GO:0009056, GO:0009987, GO:0016491, GO:0044238, GO:0044464",7.164977513,6.771636575,6.870264684,7.249902906,6.97595642,7.445012093,6.785947224,6.869039544,7.01659212,0.053806597,0.977323273,7.018988821,7.014195419,3.50949441,3.50709771,0.004793401,-0.004793401,0.977323273,0.977323273,0.998164659,0.998164659
NP_417104,grpE,heat shock protein,947097,NA,9.202179406,9.281320877,9.22895454,9.01124164,9.362693845,9.07061298,9.210211374,9.086314902,9.181691196,0.018123036,0.987492883,9.182458275,9.180924116,4.591229138,4.590462058,0.00153416,-0.00153416,0.987492883,0.987492883,0.998164659,0.998164659
NP_414733,arfB,"alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached",946046,"GO:0003824, GO:0006417, GO:0016787, GO:0016788, GO:0050789, GO:0065007, GO:0006412, GO:0008152, GO:0019538, GO:0044238",8.61715507,8.68464139,8.677337101,8.494893646,8.633631555,8.52746051,8.630670232,8.667145116,8.616616827,0.011177589,0.960778038,8.614726853,8.618506802,4.307363427,4.309253401,-0.003779948,0.003779948,0.960778038,0.960778038,0.998164659,0.998164659
NP_418681,pepA,"multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor",948791,NA,8.990760755,9.115825697,9.074734555,9.417293462,9.13534847,9.307754632,9.098386026,9.451970401,9.19900925,0.027811121,0.424198344,9.248364882,9.149653617,4.624182441,4.574826809,0.098711265,-0.098711265,0.424198344,0.424198344,0.998164659,0.998164659
NP_417531,plsY,putative glycerol-3-phosphate acyltransferase,947561,"GO:0005886, NA",7.492813447,7.873719191,7.712694941,8.66922908,7.901360762,8.378471033,7.89077161,8.362644789,8.035213107,0.119890701,0.443563877,8.133312049,7.937114165,4.066656024,3.968557082,0.196197884,-0.196197884,0.443563877,0.443563877,0.998164659,0.998164659
NP_416914,yfeK,uncharacterized protein,946876,,8.506852512,8.648681931,8.606836969,8.977199731,8.57119828,8.677962116,8.498975919,8.90732776,8.674379402,0.031798713,0.871245877,8.663866019,8.684892786,4.331933009,4.342446393,-0.021026767,0.021026767,0.871245877,0.871245877,0.998164659,0.998164659
NP_416885,ypdE,aminopeptidase,946848,NA,8.634768131,8.460233107,8.45894681,8.243926966,8.402836404,8.644408261,8.602875885,8.718536372,8.520816492,0.021988444,0.206623651,8.59216423,8.449468753,4.296082115,4.224734377,0.142695477,-0.142695477,0.206623651,0.206623651,0.998164659,0.998164659
YP_026205,tdcE,pyruvate formate-lyase 4/2-ketobutyrate formate-lyase,947623,"GO:0003824, GO:0006520, GO:0006807, GO:0008152, GO:0009056, GO:0009063, GO:0009987, GO:0016407, GO:0016740, GO:0016746, GO:0044238",8.334012857,8.24262375,8.362742662,8.74791203,8.499885159,8.296828461,8.108198148,8.499130633,8.386416712,0.03577967,0.609311331,8.3510106,8.421822824,4.1755053,4.210911412,-0.070812224,0.070812224,0.609311331,0.609311331,0.998164659,0.998164659
NP_416674,fruB,fused fructose-specific PTS enzymes: IIA component/HPr component,946677,"GO:0005886, GO:0006810, GO:0008643, GO:0016020, GO:0044464, GO:0051179",8.990910492,8.982936123,9.081729598,8.850528901,8.907670222,9.041606203,9.15583909,9.112308436,9.015441133,0.014335249,0.381902074,9.054355988,8.976526278,4.527177994,4.488263139,0.077829709,-0.077829709,0.381902074,0.381902074,0.998164659,0.998164659
NP_415799,osmB,osmotically and stress inducible lipoprotein,945866,,8.019006137,7.893073703,8.022505084,7.721062391,7.998771147,7.960021984,7.793776098,8.004100074,7.926539577,0.017364214,0.792465884,7.939167326,7.913911829,3.969583663,3.956955914,0.025255497,-0.025255497,0.792465884,0.792465884,0.998164659,0.998164659
NP_416307,yoaF,DUF333 family outer membrane lipoprotein,946310,NA,8.621578176,8.570845361,8.680974573,8.479345001,8.466867626,8.664252227,8.619267393,8.845149674,8.618535004,0.017900609,0.537124324,8.64888423,8.588185778,4.324442115,4.294092889,0.060698452,-0.060698452,0.537124324,0.537124324,0.998164659,0.998164659
NP_417705,yhcN,"cadmium and peroxide resistance protein, stress-induced",947835,NA,9.355093478,9.278429658,9.33401503,8.584528349,9.23424134,9.162100394,9.264666809,8.679711134,9.111598274,0.078055744,0.795144478,9.085179919,9.138016629,4.54258996,4.569008314,-0.05283671,0.05283671,0.795144478,0.795144478,0.998164659,0.998164659
NP_415028,ybbA,putative ABC transporter ATPase,945122,"GO:0003824, GO:0005215, GO:0005975, GO:0006520, GO:0006796, GO:0006810, GO:0006817, GO:0006865, GO:0008152, GO:0008643, GO:0016787, GO:0022857, GO:0042626, GO:0044238, GO:0051179",8.777874626,8.824055923,8.707175851,8.822096089,8.456727323,9.000957831,8.867051378,8.820388404,8.784540928,0.026421352,0.976502191,8.786281234,8.782800622,4.393140617,4.391400311,0.003480612,-0.003480612,0.976502191,0.976502191,0.998164659,0.998164659
NP_414669,yadG,putative ABC transporter ATPase,944833,"GO:0003824, GO:0005215, GO:0005975, GO:0006520, GO:0006796, GO:0006810, GO:0006817, GO:0006865, GO:0008152, GO:0008643, GO:0016787, GO:0022857, GO:0042626, GO:0044238, GO:0051179",8.508078368,8.521637576,8.436924838,8.382776268,8.51014691,8.345373202,8.633962774,8.313773414,8.456584169,0.016225063,0.900865488,8.450814075,8.462354263,4.225407037,4.231177131,-0.011540188,0.011540188,0.900865488,0.900865488,0.998164659,0.998164659
NP_417254,ygcW,putative SDR family oxidoreductase,947232,"GO:0003824, GO:0006629, GO:0008152, GO:0008202, GO:0016491, GO:0044238",8.904260291,8.830532891,8.835659086,8.813924772,8.944806081,8.779919795,8.792068023,8.676404769,8.822196963,0.011996744,0.552443639,8.798299667,8.84609426,4.399149833,4.42304713,-0.047794593,0.047794593,0.552443639,0.552443639,0.998164659,0.998164659
NP_417489,ftsP,septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts),944982,"GO:0003824, GO:0005488, GO:0005886, GO:0008152, GO:0016020, GO:0016491, GO:0030312, GO:0030313, GO:0044464",8.931537937,8.94968868,9.062606558,9.127703409,8.98256921,9.125818539,8.922650655,9.230587656,9.041645331,0.016757636,0.616161378,9.065406515,9.017884146,4.532703257,4.508942073,0.047522369,-0.047522369,0.616161378,0.616161378,0.998164659,0.998164659
NP_417810,kefG,"potassium-efflux system ancillary protein for KefB, glutathione-regulated",947857,NA,9.017530735,9.016637818,9.135837362,8.809345222,9.123974632,9.038537947,9.075170147,9.028935612,9.030746184,0.014148951,0.415325223,9.066654584,8.994837784,4.533327292,4.497418892,0.0718168,-0.0718168,0.415325223,0.415325223,0.998164659,0.998164659
NP_414568,lspA,prolipoprotein signal peptidase (signal peptidase II),944800,NA,9.54659915,9.534934037,9.4989668,9.556151951,9.665281679,9.290537795,9.513730067,9.438837257,9.505629842,0.015709249,0.535694358,9.4770967,9.534162984,4.73854835,4.767081492,-0.057066285,0.057066285,0.535694358,0.535694358,0.998164659,0.998164659
NP_417691,nanT,sialic acid transporter,947740,NA,8.6698044,8.590876122,8.608396481,9.100904652,8.166820238,9.264253897,8.86031424,8.983733151,8.780637898,0.099241347,0.73986336,8.818780382,8.742495414,4.409390191,4.371247707,0.076284967,-0.076284967,0.73986336,0.73986336,0.998164659,0.998164659
NP_417535,ttdT,L-tartrate/succinate antiporte,947576,"GO:0005215, GO:0006810, GO:0016020, GO:0016021, GO:0051179",8.645171537,8.543068409,8.712227167,8.47018892,8.601341667,8.695455369,8.713419029,8.822914725,8.650473353,0.013974625,0.199941051,8.708282697,8.592664008,4.354141349,4.296332004,0.115618689,-0.115618689,0.199941051,0.199941051,0.998164659,0.998164659
NP_416335,mntP,"putative Mn(2+) efflux pump, mntR-regulated",946341,NA,9.016317376,9.024575053,9.05833451,8.624664723,9.126307701,8.72961461,8.945837261,8.716936875,8.905323514,0.03407552,0.703455112,8.879674112,8.930972915,4.439837056,4.465486458,-0.051298804,0.051298804,0.703455112,0.703455112,0.998164659,0.998164659
NP_416077,quuQ,Qin prophage; putative antitermination protein Q,946103,,7.720644822,7.939059509,7.801441597,7.297728347,8.235959317,7.170405937,7.635736383,7.235779145,7.629594382,0.112713345,0.624651892,7.569470195,7.689718569,3.784735098,3.844859284,-0.120248373,0.120248373,0.624651892,0.624651892,0.998164659,0.998164659
NP_414828,ecpR,putative transcriptional regulator for the ecp operon,944966,,8.389444433,8.34501925,8.453323001,7.983445237,7.881843845,7.925168466,8.346458239,8.12424368,8.181118269,0.03729429,0.136284347,8.069428557,8.29280798,4.034714279,4.14640399,-0.223379423,0.223379423,0.136284347,0.136284347,0.998164659,0.998164659
NP_414944,yajD,HNH nuclease family protein,945051,NA,9.470423916,9.399526968,9.447201722,9.185877421,9.444516875,9.076445058,9.489365837,9.038816209,9.319021751,0.031814302,0.391710267,9.262285995,9.375757507,4.631142997,4.687878753,-0.113471512,0.113471512,0.391710267,0.391710267,0.998164659,0.998164659
YP_026283,ecnA,"entericidin A membrane lipoprotein, antidote entericidin B",2847736,,7.758937752,7.875295309,7.658768371,7.926542401,7.799165579,8.151027608,7.701203892,7.271258737,7.767774956,0.055866858,0.667457251,7.730663954,7.804885958,3.865331977,3.902442979,-0.074222004,0.074222004,0.667457251,0.667457251,0.998164659,0.998164659
NP_416673,fruK,fructose-1-phosphate kinase,946676,"GO:0003824, GO:0005975, GO:0005996, GO:0006139, GO:0008152, GO:0016301, GO:0016740, GO:0019200, GO:0019201, GO:0044238",8.80845654,8.800024307,8.769091556,8.676145999,8.707180986,8.807684404,8.829356339,8.686864855,8.760600623,0.010303499,0.938893028,8.757771646,8.763429601,4.378885823,4.3817148,-0.005657955,0.005657955,0.938893028,0.938893028,0.998164659,0.998164659
NP_418576,frdC,"fumarate reductase (anaerobic), membrane anchor subunit",948680,,8.210923614,8.255663405,8.301522352,7.842478764,8.427461719,8.14921551,8.062258411,7.993405922,8.155366212,0.034189173,0.967729377,8.158085391,8.152647034,4.079042695,4.076323517,0.005438357,-0.005438357,0.967729377,0.967729377,0.998164659,0.998164659
NP_416559,wcaE,putative glycosyl transferase,946543,"GO:0003824, GO:0008152, GO:0016740, GO:0016757, NA",7.129174489,6.968775787,7.238835898,7.622304971,6.911326737,7.448503298,7.250930441,7.339680666,7.238691536,0.051091665,0.989499992,7.237610285,7.239772786,3.618805143,3.619886393,-0.002162501,0.002162501,0.989499992,0.989499992,0.998164659,0.998164659
NP_417668,lptB,lipopolysaccharide export ABC transporter ATPase,947725,"GO:0003824, GO:0005215, GO:0005975, GO:0006520, GO:0006796, GO:0006810, GO:0006817, GO:0006865, GO:0008152, GO:0008643, GO:0016787, GO:0022857, GO:0042626, GO:0044238, GO:0051179",8.781800521,8.728463604,8.859778408,8.37290623,8.76012707,8.972582289,8.880220093,8.612377791,8.746032001,0.030939789,0.357592599,8.806326811,8.68573719,4.403163405,4.342868595,0.12058962,-0.12058962,0.357592599,0.357592599,0.998164659,0.998164659
NP_418325,yiiE,CopG family putative transcriptional regulator,948386,,8.608558218,8.600445199,8.672428907,8.130257705,8.464291295,8.55599126,8.640827354,8.394380559,8.508397562,0.032144637,0.933059681,8.513872617,8.502922507,4.256936309,4.251461254,0.01095011,-0.01095011,0.933059681,0.933059681,0.998164659,0.998164659
NP_418032,yiaK,"2,3-diketo-L-gulonate reductase, NADH-dependent",948096,"GO:0003824, GO:0016491, GO:0008152",8.990977909,9.111120264,9.172519463,9.178285902,8.999690152,9.29758296,9.143629246,9.44633789,9.167517973,0.022305274,0.33067934,9.221810062,9.113225884,4.610905031,4.556612942,0.108584178,-0.108584178,0.33067934,0.33067934,0.998164659,0.998164659
NP_417373,sdhE,flavinator of succinate dehydrogenase; antitoxin of CptAB toxin-antitoxin pair,947382,"GO:0008152, GO:0009987",7.446127672,7.469669039,7.542260889,8.422060591,7.170127504,7.883464785,7.72333746,8.344749897,7.75022473,0.159183766,0.835269352,7.780419911,7.720029548,3.890209956,3.860014774,0.060390364,-0.060390364,0.835269352,0.835269352,0.998164659,0.998164659
NP_414762,yafL,putative lipoprotein and C40 family peptidase,944899,,8.748082654,8.842155657,8.781966558,8.947406366,8.649885782,8.848308816,8.97592275,9.004247044,8.849746953,0.018619765,0.69044722,8.869591098,8.829902809,4.434795549,4.414951404,0.039688289,-0.039688289,0.69044722,0.69044722,0.998164659,0.998164659
NP_415104,cusC,"copper/silver efflux system, outer membrane component",946288,NA,9.025319982,8.816755015,8.898282123,8.689085479,8.796395752,9.105294502,8.930046418,9.108448283,8.921203444,0.021622425,0.250568266,8.985046239,8.85736065,4.492523119,4.428680325,0.127685589,-0.127685589,0.250568266,0.250568266,0.998164659,0.998164659
NP_416955,eutQ,RmlC-like cupin domain protein,946935,NA,9.353914638,9.334001142,9.273502793,9.29092101,9.363588676,9.520575242,9.34625766,9.505821862,9.373572878,0.010664694,0.131943138,9.43406086,9.313084896,4.71703043,4.656542448,0.120975964,-0.120975964,0.131943138,0.131943138,0.998164659,0.998164659
NP_415244,ybgO,putative fimbrial protein,947550,,8.449694108,8.636702227,8.480453319,8.832909323,8.347318227,8.655931458,8.622155229,8.859714724,8.610609827,0.032441737,0.870634713,8.621279909,8.599939744,4.310639955,4.299969872,0.021340165,-0.021340165,0.870634713,0.870634713,0.998164659,0.998164659
NP_415163,lipB,octanoyltransferase; octanoyl-[ACP]:protein N-octanoyltransferase,945217,"GO:0006464, GO:0008152, GO:0009987, GO:0019538, GO:0044238",9.022551281,9.022989096,9.00619087,9.009368764,9.036371204,8.927242749,9.039349507,8.911464831,8.996941038,0.008991254,0.597749946,8.978607073,9.015275003,4.489303536,4.507637501,-0.03666793,0.03666793,0.597749946,0.597749946,0.998164659,0.998164659
NP_415657,lit,"T4 phage exclusion protein; cell death peptidase, e14 prophage",948421,,8.046411698,8.116619829,8.026529699,8.520769416,8.088897069,8.360060575,8.313120475,8.528149434,8.250069774,0.036249708,0.309549372,8.322556888,8.177582661,4.161278444,4.08879133,0.144974228,-0.144974228,0.309549372,0.309549372,0.998164659,0.998164659
NP_418770,hsdR,endonuclease R Type I restriction enzyme,948878,NA,8.8900539,9.020485422,8.995976581,9.173285945,9.248246532,9.168047051,9.016628827,9.197382783,9.08876338,0.015247335,0.149407848,9.157576298,9.019950462,4.578788149,4.509975231,0.137625836,-0.137625836,0.149407848,0.149407848,0.998164659,0.998164659
